;Text_ID;Sentence_ID;Sentence_position;Token_ID;Token_position;Token;Token_clean;Relation;Head;Analysis_ID;Lemma;Lemma_simplex;Lemma_frequency;Language;Morphological_type;Part_of_speech;Stem;Tense;Mood;Diathesis;Person;Number;Gender;Case;Category;POS;Tags;Meaning;Meaning_category;Meaning_subcategory;Classical_Latin_equivalent;Classical_Latin_Form;TAM_analysis;Standard_aligned;Form_aligned;Sentence;Section;Reference;Name;Language_(text);Language_family;Language_variety;Script;Date_after;Date_before;Provenance;GeoID;Latitude;Longitude;Finite_verb;Analysable_token;Text_length;Trismegistos_ID;Date;Century;Heads;Siblings;Constituent;Verbal_head;Main_clause;Order;Check;Konneker
143553;2418;3401;1;143553;3;re.i.tiia.i.;reitiiai;OBJ;143545;1470543.0;14612a;14612;32.0;Venetic;A-stem;noun;-;-;-;-;-;singular;F;DAT;-;n-s---fd-;F-dat-sg;Reitia;PROPER;THEONYM;Reitia;Reitiae;-;-;-;mego donasto [ / --- / - ] re.i.tiia.i. (vac.);;45 (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-599.0;-1.0;Ateste (Este);;45.2224171;11.5898338;True;True;3;218130;-300.0;-3;[143545];[143553];1;dono;1;1;[143553];0
143565;2421;3404;1;143565;2;śa.i.na[te.i.;sainatei;OBJ;143564;1470239.0;14617a;14617;21.0;Venetic;I-stem;adjective;-;-;-;-;-;singular;F;DAT;-;a-s---fd-;F-dat-sg;Saenatis;PROPER;THEONYM;Saenatis;Saenati;-;-;-;... don]a.s.to śa.i.na[te.i. ...;;48 (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-599.0;-1.0;Ateste (Este);;45.2224171;11.5898338;True;True;2;218133;-300.0;-3;[143564];[143565];1;dono;1;1;[143565];0
143582;2424;3407;1;143582;5;re.i.ti[ia.i.];reitiiai;OBJ;143580;1470532.0;14612a;14612;32.0;Venetic;A-stem;noun;-;-;-;-;-;singular;F;DAT;-;n-s---fd-;F-dat-sg;Reitia;PROPER;THEONYM;Reitia;Reitiae;-;-;-;.e.[ ---].s. e./kvo[.]n[.] dona.s.to / re.i.ti[ia.i.] mego;;51 (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-599.0;-1.0;Ateste (Este);;45.2224171;11.5898338;True;True;6;218136;-300.0;-3;[143580];[143582];1;dono;1;1;[143582];0
143588;2425;3408;1;143588;4;re.i.t/iia.i.;reitiiai;OBJ;143587;1470545.0;14612a;14612;32.0;Venetic;A-stem;noun;-;-;-;-;-;singular;F;DAT;-;n-s---fd-;F-dat-sg;Reitia;PROPER;THEONYM;Reitia;Reitiae;-;-;-;molo m[---]no.s. / dona.s.to re.i.t/iia.i. mego;;52 (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-599.0;-1.0;Ateste (Este);;45.2224171;11.5898338;True;True;5;218137;-300.0;-3;[143587];[143588];1;dono;1;1;[143588];0
143595;2426;3409;1;143595;5;re.i.tia.i.;reitiai;OBJ;143593;1470526.0;14612a;14612;32.0;Venetic;A-stem;noun;-;-;-;-;-;singular;F;DAT;-;n-s---fd-;F-dat-sg;Reitia;PROPER;THEONYM;Reitia;Reitiae;-;-;-;mego v/a.n.t.s. e.g/e.s.t.s. do/na.s.to / re.i.tia.i.;;53 (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-599.0;-1.0;Ateste (Este);;45.2224171;11.5898338;True;True;5;218138;-300.0;-3;[143593];[143595];1;dono;1;1;[143595];0
143604;2428;3411;1;143604;4;.e.[ịṇạ---];eina;OBJ;143603;1470439.0;14364a;14364;1.0;Venetic;O-stem;noun;-;-;-;-;-;singular;-;DAT;-;n-s----d-;dat-sg;Einaius;PROPER;PERSONAL;Einaius;Einaeus;-;-;-;mego vhr[e.n.m/a.i..s.]to.s. dona.s./to .e.[ịṇạ---] / vote.i.iio.s.;;55 (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-599.0;-1.0;Ateste (Este);;45.2224171;11.5898338;True;True;5;218140;-300.0;-3;[143603];[143604];1;dono;1;1;[143604];0
144146;2582;3565;1;144146;2;---ọ.]i.;oi;OBJ;144147;1470615.0;-;-;278.0;Venetic;O-stem;noun;-;-;-;-;-;singular;M;DAT;-;n-s---md-;M-dat-sg;?us;PROPER;-;-;-;-;-;-;hevi.s.so.ś. [ ---ọ.]i. hva.g.s.to;;127 (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-499.0;-300.0;Patavium (Padova);;45.4064823;11.8212051;True;True;3;218190;-399.5;-4;[144147];[144146];1;fecit;1;0;[144146];0
144261;2606;3589;1;144261;4;śa.i.nat.;sainat;OBJ;144260;1470238.0;14617a;14617;21.0;Venetic;I-stem;adjective;-;-;-;-;-;singular;F;DAT;-;a-s---fd-;F-dat-sg;Saenatis;PROPER;THEONYM;Saenatis;Saenati;-;-;-;[ -- ].i. (vac.) iion.ko.s. tona.s./to śa.i.nat. trumus.iiat.per. vo/.l.te.r.kon. vo.n.ta.r.;;151 (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-299.0;-100.0;Catubrium (Cadore);;46.4267543;12.3678385;True;True;8;218214;-199.5;-2;[144260];[144261];2;dono;1;1;[144261];0
144281;2610;3593;1;144281;3;tr.;tr;OBJ;144280;1471259.0;14642a;14642;4.0;Venetic;I-stem;adjective;-;-;-;-;-;singular;M;DAT;-;a-s---md-;M-dat-sg;Tribusiatis;PROPER;THEONYM;Tribusiatis;Tribusiatem;-;-;-;[vo.l.]ṣ.iio.n.mno.s[. ] / tona.s.to tr.;;155 (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-299.0;-100.0;Catubrium (Cadore);;46.4267543;12.3678385;True;True;3;218218;-199.5;-2;[144280];[144281];1;dono;1;1;[144281];0
144292;2612;3595;1;144292;5;.ś.ainate.i.;sainatei;OBJ;144289;1470243.0;14617a;14617;21.0;Venetic;I-stem;adjective;-;-;-;-;-;singular;F;DAT;-;a-s---fd-;F-dat-sg;Saenatis;PROPER;THEONYM;Saenatis;Saenati;-;-;-;aviro bro.i.joko.s. doto donon. / .ś.ainate.i.;;157 (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-299.0;-100.0;Catubrium (Cadore);;46.4267543;12.3678385;True;True;5;218229;-199.5;-2;[144289];[144292];1;do;1;1;[144292];0
144297;2613;3596;1;144297;5;trumusijate.i.;trumusijatei;OBJ;144295;1470226.0;14645a;14645;36.0;Venetic;I-stem;adjective;-;-;-;-;-;singular;-;DAT;-;a-s----d-;dat-sg;Trumusiatis;PROPER;THEONYM;Trumusiatis;Trumusiati;-;-;-;ke.l.lo.s. ossoko.s. doto dono.m. trumusijate.i.;;158 (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-299.0;-100.0;Catubrium (Cadore);;46.4267543;12.3678385;True;True;5;218213;-199.5;-2;[144295];[144297];1;do;1;1;[144297];0
144305;2615;3598;1;144305;4;trum/usijate.i.;trumusijatei;OBJ;144304;1470218.0;14645a;14645;36.0;Venetic;I-stem;adjective;-;-;-;-;-;singular;-;DAT;-;a-s----d-;dat-sg;Trumusiatis;PROPER;THEONYM;Trumusiatis;Trumusiati;-;-;-;/ ke.l.lo.s. pi.t./ta.m.mniko.s. tole.r. trum/usijate.i. dono.m. / da;;160 (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-299.0;-100.0;Catubrium (Cadore);;46.4267543;12.3678385;True;True;6;218222;-199.5;-2;[144304];[144305];1;fero;1;1;[144305];0
