;Token_ID;Lemma;Token;Children;Relation;POS;Category;AuxY;Language;Date_before;Date_after;Sentence;Proper;Verbs;Nouns;Polysyndeton;Bisyndeton;Minus_one;Strategy
54;515115;;-;2;OBJ_CO;verb;-;0;Latin;-27.0;-299.0;[T]i(berius) Messius Q(uinti) f(ilius) C(aius) Acilius M(arci) f(ilius) / [C]n(aeus) Mevius Cn(aei) f(ilius) aid(iles) murum / et aream claudendam ex / sen(atus) sen(tentia) faciundum curavere / eisdemque probavere;0;1;0;0;0;1;A
55;319743;13568a;que;2;PRED_CO;verb;-;0;Latin;-27.0;-299.0;a]ed(ilis) iter(um) solus augur / [for]nices de pecun(ia) public(a) / [fa]c(iendos) coer(avit) idemq(ue) prob(avit);0;1;0;0;0;1;S
56;225246;12472a;[et;NA;NA;NA;NA;0;Latin;-27.0;-299.0;[Consc]riptes co(n)se(nsu) T(iti) Fa[--- praefecti] / [et p]raifectura tot[a Fundi hospitium] / fecere quom Ti(berio) C[---] /;0;0;0;0;0;0;P
57;225261;12472a;et];2;PRED_CO;verb;-;0;Latin;-27.0;-299.0;[i]n eius fidem om[nes nos tradimus et] / co(n)venumis;0;1;0;0;0;1;P
58;515116;;-;1;SBJ_CO;noun;PROPER;0;Latin;-27.0;-299.0;co[optamus eum patronum] / M(arco) Claudio M(arci) f(ilio) [--- co(n)s(ulibus)];1;0;0;0;1;0;A
59;514414;13568a;que;2;PRED_CO;verb;-;0;Latin;-27.0;-299.0;M(arcus) Nellius M(arci) f(ilius) / A(ulus) Octavius C(ai) f(ilius) / L(ucius) Ursius A(uli) f(ilius) / aid(iles) / murum portam turris / faciunda ex s(enatus) c(onsulto) coe[r(averunt)] / eid(em)que probav(erunt);0;1;0;0;0;1;S
60;515117;;-;3;SBJ_CO;noun;PROPER;0;Latin;-27.0;-299.0;M(arcus) Nellius M(arci) f(ilius) / A(ulus) Octavius C(ai) f(ilius) / L(ucius) Ursius A(uli) f(ilius) / aid(iles) / murum portam turris / faciunda ex s(enatus) c(onsulto) coe[r(averunt)] / eid(em)que probav(erunt);1;0;0;1;0;0;A
61;515118;;-;3;SBJ_CO;noun;BUILDING;0;Latin;-27.0;-299.0;M(arcus) Nellius M(arci) f(ilius) / A(ulus) Octavius C(ai) f(ilius) / L(ucius) Ursius A(uli) f(ilius) / aid(iles) / murum portam turris / faciunda ex s(enatus) c(onsulto) coe[r(averunt)] / eid(em)que probav(erunt);0;0;1;1;0;0;A
62;319355;13568a;que;2;PRED_CO;verb;-;0;Latin;-27.0;-299.0;L(ucius) Numistronius L(uci) f(ilius) Decian(us) / C(aius) Lucius M(arci) f(ilius) M(arcus) Runtius L(uci) f(ilius) Mess(ianus) / aed(iles) portas turreis murum / ex s(enatus) c(onsulto) faciund(a) coera(ve)runt / eisdemq(ue) proba(ve)runt;0;1;0;0;0;1;S
63;515119;;-;3;SBJ_CO;noun;PROPER;0;Latin;-27.0;-299.0;L(ucius) Numistronius L(uci) f(ilius) Decian(us) / C(aius) Lucius M(arci) f(ilius) M(arcus) Runtius L(uci) f(ilius) Mess(ianus) / aed(iles) portas turreis murum / ex s(enatus) c(onsulto) faciund(a) coera(ve)runt / eisdemq(ue) proba(ve)runt;1;0;0;1;0;0;A
64;515120;;-;3;SBJ_CO;noun;BUILDING;0;Latin;-27.0;-299.0;L(ucius) Numistronius L(uci) f(ilius) Decian(us) / C(aius) Lucius M(arci) f(ilius) M(arcus) Runtius L(uci) f(ilius) Mess(ianus) / aed(iles) portas turreis murum / ex s(enatus) c(onsulto) faciund(a) coera(ve)runt / eisdemq(ue) proba(ve)runt;0;0;1;1;0;0;A
